Ranking,Helmet,Score,Stars,Cost
1,Specialized Tactic 4 MIPS,8.55,5,110
2,Specialized Prevail 3,8.64,5,300
3,Sweet Protection Trailblazer MIPS,8.69,5,180
4,Specialized Mode MIPS,8.80,5,120
5,Fox Dropframe Pro MIPS,8.85,5,200
6,Giant Rev Comp MIPS,9.13,5,65
7,Lazer G1 MIPS,9.23,5,240
8,Bontrager Rally MIPS,9.34,5,150
9,Specialized Align II MIPS,9.55,5,50
10,Lazer Tonic MIPS,9.85,5,80
11,Specialized Ambush 2,9.88,5,180
12,Troy Lee Designs A2 MIPS Decoy,9.99,5,179
13,Lazer Century MIPS,10.00,5,180
14,6D ATB-2T,10.03,5,229
15,SCOTT Centric Plus MIPS,10.20,5,200
16,Giant Rev Pro MIPS,10.22,5,273
17,Liv Rev Pro MIPS,10.22,5,273
18,Lazer Sphere MIPS,10.32,5,160
19,Lazer Cyclone MIPS,10.50,5,75
20,POC Octal X SPIN,10.59,5,250
21,SCOTT ARX PLUS MIPS 2020,10.75,5,100
22,Bontrager Specter WaveCel,10.79,5,150
23,Fox Speedframe Pro MIPS,10.84,5,160
24,Bontrager Ballista MIPS,10.92,5,200
25,Specialized Evade 3,10.93,5,300
26,Lazer Anverz NTA MIPS,10.99,5,200
27,Troy Lee Designs A3 MIPS,11.01,5,220
28,Bontrager Starvos WaveCel Asia Fit,11.12,5,100
29,Bontrager Starvos Wavecel Round Fit,11.12,5,100
30,Giant Rail SX MIPS,11.16,5,190
31,Lazer Jackal MIPS,11.19,5,200
32,Bontrager Starvos WaveCel,11.22,5,100
33,Giro Tyrant Spherical,11.22,5,170
34,Bell Z20 MIPS,11.23,5,230
35,Specialized Prevail 2 Vent MIPS,11.28,5,250
36,Bontrager Solstice MIPS,11.48,5,65
37,Bern Major MIPS,11.52,5,130
38,SCOTT Argo PLUS MIPS,11.60,5,80
39,Troy Lee Designs A1 Classic MIPS,11.65,5,139
40,POC Tectal Race Spin,11.67,5,220
41,Bontrager Circuit WaveCel,11.73,5,150
42,Bontrager XXX WaveCel,11.76,5,300
43,Lazer Cage KinetiCore,11.76,5,300
44,Bell Formula MIPS,11.90,5,95
45,Giant Roost MIPS,11.93,5,100
46,AIRNOGGIN Head Trauma Protection System,12.05,5,99
47,Bontrager Rally WaveCel,12.07,5,150
48,Giant Realm MIPS,12.10,5,220
49,Specialized Camber,12.11,5,80
50,Lazer Z1 MIPS,12.16,5,255
51,Giro Manifest Spherical,12.20,5,260
52,Specialized Echelon II MIPS,12.21,5,90
53,Bontrager Velocis MIPS,12.28,5,210
54,Rudy Project RaceMaster MIPS,12.31,5,350
55,Lazer Cruizer MIPS,12.32,5,125
56,Lazer BLADE+ MIPS,12.32,5,100
57,Louis Garneau Raid MIPS,12.32,5,120
58,Bell Z20 Aero MIPS,12.39,5,250
59,Giant Path MIPS,12.48,5,55
60,Giant Relay MIPS,12.48,5,50
61,Liv Path MIPS,12.48,5,55
62,Liv Relay MIPS,12.48,5,50
63,Giro Aether Spherical,12.51,5,325
64,Bern Union MIPS,12.58,5,110
65,Specialized S-Works Prevail II MIPS,12.65,5,250
66,Lazer Coyote KinetiCore,12.65,5,100
67,Lazer Cannibal MIPS,12.83,5,80
68,Bell Stratus MIPS,12.90,5,150
69,Thousand Chapter MIPS,12.91,5,135
70,Lazer Roller MIPS,12.99,5,85
71,Giro Synthe MIPS,13.00,5,270
72,Lazer Chiru MIPS,13.02,5,55
73,Bern Hudson,13.03,5,140
74,Specialized Chamonix MIPS,13.06,5,75
75,Bontrager Blaze WaveCel,13.17,5,300
76,SCOTT Stego PLUS MIPS,13.34,5,190
77,Giro Syntax MIPS,13.37,5,100
